Wall time,Step,Value
1627265883.6881568,1,0.489814817905426
1627265884.5959911,2,0.5222222208976746
1627265885.557676,3,0.4833333194255829
1627265886.4346688,4,0.5083333253860474
1627265887.3274255,5,0.5074074268341064
1627265888.2415888,6,0.5416666865348816
1627265889.127699,7,0.5324074029922485
1627265890.0556507,8,0.5675926208496094
1627265891.0095434,9,0.519444465637207
1627265891.9382026,10,0.5361111164093018
1627265892.8926206,11,0.5537037253379822
1627265893.8269904,12,0.5546296238899231
1627265894.7784903,13,0.5740740895271301
1627265895.7568269,14,0.5722222328186035
1627265896.663451,15,0.5935184955596924
1627265897.563972,16,0.595370352268219
1627265898.506833,17,0.6296296119689941
1627265899.3755076,18,0.6861110925674438
1627265900.333753,19,0.6611111164093018
1627265901.2957938,20,0.6490740776062012
1627265902.177952,21,0.6657407283782959
1627265903.1045825,22,0.6638888716697693
1627265904.0448983,23,0.6555555462837219
1627265904.9763134,24,0.6379629373550415
1627265905.8763943,25,0.6675925850868225
1627265906.7757072,26,0.6814814805984497
1627265907.691862,27,0.6768518686294556
1627265908.6647606,28,0.6759259104728699
1627265909.5459616,29,0.6759259104728699
1627265910.4161298,30,0.6731481552124023
1627265911.3182087,31,0.6638888716697693
1627265912.2395127,32,0.6694444417953491
1627265913.1835277,33,0.6740740537643433
1627265914.053706,34,0.6879629492759705
1627265914.9339578,35,0.7027778029441833
1627265915.8773382,36,0.6685185432434082
1627265916.755814,37,0.6925926208496094
1627265917.647576,38,0.6898148059844971
1627265918.608738,39,0.6972222328186035
1627265919.5614705,40,0.6916666626930237
1627265920.5852761,41,0.6879629492759705
1627265921.5060177,42,0.6953703761100769
1627265922.4460104,43,0.6703703999519348
1627265923.3546665,44,0.7009259462356567
1627265924.2766445,45,0.6870370507240295
1627265925.1745462,46,0.7074074149131775
1627265926.1018705,47,0.7055555582046509
1627265927.0333493,48,0.7138888835906982
1627265927.965736,49,0.7166666388511658
1627265928.9237835,50,0.6953703761100769
1627265929.8717747,51,0.6879629492759705
1627265930.7816684,52,0.7231481671333313
1627265931.7182846,53,0.7175925970077515
1627265932.701476,54,0.7166666388511658
1627265933.6305554,55,0.699999988079071
1627265934.5160367,56,0.7212963104248047
1627265935.4413214,57,0.7351852059364319
1627265936.3878498,58,0.7277777791023254
1627265937.3406408,59,0.699999988079071
1627265938.3284874,60,0.720370352268219
1627265939.2358437,61,0.7231481671333313
1627265940.1013942,62,0.7157407402992249
1627265941.0675607,63,0.7037037014961243
1627265942.3024921,64,0.6953703761100769
1627265943.2459733,65,0.739814817905426
1627265944.130845,66,0.7157407402992249
1627265945.0575905,67,0.7240740656852722
1627265945.9482777,68,0.7212963104248047
1627265946.7932208,69,0.7435185313224792
1627265947.6805286,70,0.7314814925193787
1627265948.5850105,71,0.7379629611968994
1627265949.5564516,72,0.7231481671333313
1627265950.4602845,73,0.7379629611968994
1627265951.412579,74,0.7111111283302307
1627265952.279186,75,0.720370352268219
1627265953.2598894,76,0.7240740656852722
1627265954.130808,77,0.7444444298744202
1627265955.0670736,78,0.7111111283302307
1627265956.0327919,79,0.7453703880310059
1627265957.0000305,80,0.7222222089767456
1627265957.9156246,81,0.739814817905426
1627265958.8444467,82,0.7277777791023254
1627265959.813132,83,0.7361111044883728
1627265960.714241,84,0.720370352268219
1627265961.6918082,85,0.729629635810852
1627265962.6702065,86,0.7342592477798462
1627265963.586275,87,0.7592592835426331
1627265964.5494802,88,0.7287036776542664
1627265965.47897,89,0.7231481671333313
1627265966.4079883,90,0.7324073910713196
1627265967.3712292,91,0.7231481671333313
1627265968.2889292,92,0.7407407164573669
1627265969.2322888,93,0.7370370626449585
1627265970.2180128,94,0.75
1627265971.10499,95,0.7333333492279053
1627265971.9938018,96,0.7324073910713196
1627265972.958554,97,0.7361111044883728
1627265973.9276767,98,0.7342592477798462
1627265974.8385823,99,0.739814817905426
1627265975.8250413,100,0.7231481671333313
1627265976.7562554,101,0.7370370626449585
1627265977.639348,102,0.7675926089286804
1627265978.6064649,103,0.760185182094574
1627265979.527997,104,0.7564814686775208
1627265980.4422143,105,0.7361111044883728
1627265981.3477914,106,0.7407407164573669
1627265982.359699,107,0.7194444537162781
1627265983.4272816,108,0.7361111044883728
1627265984.3566358,109,0.7444444298744202
1627265985.2502642,110,0.75
1627265986.189655,111,0.7527777552604675
1627265987.094045,112,0.7435185313224792
1627265988.036045,113,0.7666666507720947
1627265988.9204416,114,0.7314814925193787
1627265989.8505356,115,0.7675926089286804
1627265990.7579107,116,0.7351852059364319
1627265991.6655343,117,0.760185182094574
1627265992.5678928,118,0.7861111164093018
1627265993.4875696,119,0.7361111044883728
1627265994.397735,120,0.7481481432914734
1627265995.333242,121,0.7518518567085266
1627265996.2947679,122,0.7583333253860474
1627265997.241709,123,0.7546296119689941
1627265998.1281078,124,0.7250000238418579
1627265999.0951653,125,0.7629629373550415
1627266000.047838,126,0.760185182094574
1627266001.3774002,127,0.7851851582527161
1627266002.3021898,128,0.7509258985519409
1627266003.259347,129,0.7583333253860474
1627266004.19633,130,0.7759259343147278
1627266005.2674825,131,0.7712963223457336
1627266006.2257051,132,0.7685185074806213
1627266007.2117639,133,0.7546296119689941
1627266008.0779364,134,0.7527777552604675
1627266009.0175347,135,0.7509258985519409
1627266009.9614227,136,0.7759259343147278
1627266010.911256,137,0.7509258985519409
1627266011.8483098,138,0.7722222208976746
1627266012.7739882,139,0.7583333253860474
1627266013.6799335,140,0.7787036895751953
1627266014.6013837,141,0.779629647731781
1627266015.5300891,142,0.7518518567085266
1627266016.4785414,143,0.7537037134170532
1627266017.4082108,144,0.7749999761581421
1627266018.3309617,145,0.7638888955116272
1627266019.2093065,146,0.7768518328666687
1627266020.1287026,147,0.7518518567085266
1627266021.0725114,148,0.7611111402511597
1627266022.02246,149,0.7407407164573669
1627266022.988789,150,0.7620370388031006
1627266023.9166536,151,0.7666666507720947
1627266024.8472636,152,0.7546296119689941
1627266025.7527862,153,0.7611111402511597
1627266026.693121,154,0.7870370149612427
1627266027.6207807,155,0.7490741014480591
1627266028.515621,156,0.7453703880310059
1627266029.5115983,157,0.7537037134170532
1627266030.4070845,158,0.7583333253860474
1627266031.3184257,159,0.7555555701255798
1627266032.2960544,160,0.7657407522201538
1627266033.1758943,161,0.7481481432914734
1627266034.0841973,162,0.7675926089286804
1627266035.0265326,163,0.7583333253860474
1627266035.9469488,164,0.7620370388031006
1627266036.8681233,165,0.7518518567085266
1627266037.8037698,166,0.7379629611968994
1627266038.6952686,167,0.7555555701255798
1627266039.6105092,168,0.75
1627266040.5207973,169,0.7537037134170532
1627266041.401285,170,0.7583333253860474
1627266042.3612797,171,0.7546296119689941
1627266043.2305295,172,0.7333333492279053
1627266044.1652255,173,0.7407407164573669
1627266045.0521696,174,0.7250000238418579
1627266046.0450902,175,0.7444444298744202
1627266046.9493082,176,0.7824074029922485
1627266047.8948627,177,0.7435185313224792
1627266048.7721841,178,0.7620370388031006
1627266049.657544,179,0.769444465637207
1627266050.6117823,180,0.7509258985519409
1627266051.5519829,181,0.7648147940635681
1627266052.4474149,182,0.75
1627266053.3889027,183,0.7444444298744202
1627266054.2958138,184,0.760185182094574
1627266055.194896,185,0.7444444298744202
1627266056.2127502,186,0.7629629373550415
1627266057.2068157,187,0.7666666507720947
1627266058.1100795,188,0.7564814686775208
1627266059.0372818,189,0.7490741014480591
1627266059.9313562,190,0.7685185074806213
1627266061.7579474,191,0.7564814686775208
1627266062.6409695,192,0.7731481194496155
1627266063.6209524,193,0.760185182094574
1627266064.553682,194,0.7611111402511597
1627266065.4847682,195,0.7564814686775208
1627266066.3624318,196,0.7527777552604675
1627266067.3962576,197,0.760185182094574
1627266068.3437958,198,0.7787036895751953
1627266069.19345,199,0.7740740776062012
1627266070.0686212,200,0.7620370388031006
1627266070.9617336,201,0.7805555462837219
1627266071.853181,202,0.7277777791023254
1627266072.730159,203,0.7685185074806213
1627266073.703763,204,0.7611111402511597
1627266074.5601482,205,0.7416666746139526
1627266075.45881,206,0.769444465637207
1627266076.3856578,207,0.7574074268341064
1627266077.351808,208,0.7416666746139526
1627266078.2496314,209,0.7620370388031006
1627266079.146757,210,0.7555555701255798
1627266080.0600097,211,0.7611111402511597
1627266080.9735749,212,0.7546296119689941
1627266081.8697994,213,0.7537037134170532
1627266082.7885013,214,0.760185182094574
1627266083.7117448,215,0.7388888597488403
1627266084.5985732,216,0.7592592835426331
1627266085.523217,217,0.7666666507720947
1627266086.4254842,218,0.7546296119689941
1627266087.2965748,219,0.7620370388031006
1627266088.225941,220,0.7574074268341064
1627266089.17902,221,0.7462962865829468
1627266090.0860953,222,0.75
1627266091.04687,223,0.7712963223457336
1627266091.9577668,224,0.7555555701255798
1627266092.9186099,225,0.7638888955116272
1627266093.8114736,226,0.7731481194496155
1627266094.7535312,227,0.7462962865829468
1627266095.634246,228,0.760185182094574
1627266096.5479434,229,0.7638888955116272
1627266097.425432,230,0.7583333253860474
1627266098.3484762,231,0.7574074268341064
1627266099.244545,232,0.7444444298744202
1627266100.2068143,233,0.7731481194496155
1627266101.115317,234,0.7768518328666687
1627266102.001452,235,0.7574074268341064
1627266102.9968278,236,0.7629629373550415
1627266103.9479032,237,0.7722222208976746
1627266104.8560562,238,0.7527777552604675
1627266105.7875795,239,0.7731481194496155
1627266106.651878,240,0.7509258985519409
1627266107.5607529,241,0.7777777910232544
1627266108.4355571,242,0.7574074268341064
1627266109.3341901,243,0.7666666507720947
1627266110.2040803,244,0.7777777910232544
1627266111.1001363,245,0.7657407522201538
1627266112.034548,246,0.7574074268341064
1627266112.9095507,247,0.7657407522201538
1627266113.835709,248,0.75
1627266114.743078,249,0.7731481194496155
1627266115.6833646,250,0.7740740776062012
1627266116.60517,251,0.7749999761581421
1627266117.4973488,252,0.7527777552604675
1627266118.3808343,253,0.7648147940635681
1627266119.2921157,254,0.7675926089286804
1627266120.2423048,255,0.7240740656852722
1627266121.5673914,256,0.7555555701255798
1627266122.446382,257,0.7611111402511597
1627266123.3903923,258,0.7666666507720947
1627266124.336028,259,0.7472222447395325
1627266125.2770567,260,0.7685185074806213
1627266126.19125,261,0.7629629373550415
1627266127.132667,262,0.7638888955116272
1627266128.009358,263,0.7768518328666687
1627266128.898494,264,0.7583333253860474
1627266129.8830945,265,0.7490741014480591
1627266130.8291755,266,0.7481481432914734
1627266131.7062094,267,0.7638888955116272
1627266132.7216625,268,0.7546296119689941
1627266133.6198905,269,0.7675926089286804
1627266134.5744026,270,0.7824074029922485
1627266135.479217,271,0.7620370388031006
1627266136.36822,272,0.7592592835426331
1627266137.2816675,273,0.7370370626449585
1627266138.2016802,274,0.7490741014480591
1627266139.1404736,275,0.7453703880310059
1627266140.1108487,276,0.760185182094574
1627266141.0064576,277,0.7472222447395325
1627266141.925615,278,0.7638888955116272
1627266142.9550753,279,0.7685185074806213
1627266143.882884,280,0.7759259343147278
