Wall time,Step,Value
1628779732.466379,1,1.0
1628779764.7294855,3,1.0
1628779781.1650968,4,1.0
1628779797.9065437,5,1.0
1628779875.6911683,10,1.0
1628779892.090152,11,1.0
1628779908.1725783,12,1.0
1628779957.3400865,15,1.0
1628779973.7763014,16,1.0
1628779990.1539373,17,1.0
1628780023.1553774,19,1.0
1628780039.3349254,20,1.0
1628780056.0721354,21,1.0
1628780088.9737015,23,1.0
1628780105.4425724,24,1.0
1628780155.004568,27,1.0
1628780171.713174,28,1.0
1628780188.2115943,29,1.0
1628780204.86925,30,1.0
1628780221.6425338,31,1.0
1628780268.8404005,34,1.0
1628780285.4200656,35,1.0
1628780319.1513724,37,1.0
1628780335.947144,38,1.0
1628780351.7417998,39,1.0
1628780368.3553429,40,1.0
1628780385.1662388,41,1.0
1628780496.2496302,48,1.0
1628780513.195127,49,1.0
1628780530.0875618,50,1.0
1628780546.9893064,51,1.0
1628780563.8138108,52,1.0
1628780580.5327058,53,1.0
1628780597.5443158,54,1.0
1628780614.4388275,55,1.0
1628780631.4969625,56,1.0
1628780665.4418378,58,1.0
1628780716.326159,61,1.0
1628780733.4658647,62,1.0
1628780750.4542055,63,1.0
1628780767.359156,64,1.0
1628780801.3396406,66,1.0
1628780818.263783,67,1.0
1628780835.2167468,68,1.0
1628780852.1173818,69,1.0
1628780886.3518903,71,1.0
1628780903.4514775,72,1.0
1628780937.5368295,74,1.0
1628780971.3609164,76,1.0
1628781004.948764,78,1.0
1628781021.7998478,79,1.0
1628781038.3866289,80,1.0
1628781055.4752376,81,1.0
1628781089.2110658,83,1.0
1628781106.4885185,84,1.0
1628781132.4410665,86,1.0
1628781149.516149,87,1.0
1628781166.4976485,88,1.0
1628781200.3568473,90,1.0
1628781217.6599011,91,1.0
1628781302.7492797,96,1.0
1628781319.8729815,97,1.0
1628781371.0222702,100,1.0
1628781388.1685886,101,1.0
1628781439.5056224,104,1.0
1628781456.666059,105,1.0
1628781490.687816,107,1.0
1628781507.793499,108,1.0
1628781524.9069817,109,1.0
1628781541.8634207,110,1.0
1628781559.0036807,111,1.0
1628781575.2027915,112,1.0
1628781592.1909683,113,1.0
1628781626.0878022,115,1.0
1628781642.9695435,116,1.0
1628781659.8255394,117,1.0
1628781676.9918764,118,1.0
1628781728.1756608,121,1.0
1628781744.9673202,122,1.0
1628781806.1399574,126,1.0
1628781823.32281,127,1.0
1628781857.7641783,129,1.0
1628781875.0526805,130,1.0
1628781886.12263,131,1.0
1628781903.1149354,132,1.0
1628781920.1812308,133,1.0
1628781954.6117928,135,1.0
1628781988.6103153,137,1.0
1628781999.2754438,138,1.0
1628782016.358513,139,1.0
1628782033.4005806,140,1.0
1628782050.6658452,141,1.0
1628782067.7205255,142,1.0
1628782102.027201,144,1.0
1628782119.1554956,145,1.0
1628782136.2205641,146,1.0
1628782153.151673,147,1.0
1628782170.238939,148,1.0
1628782218.299582,151,1.0
1628782287.0581725,155,1.0
1628782321.1039941,157,1.0
1628782338.1194756,158,1.0
1628782372.3996701,160,1.0
1628782389.7002213,161,1.0
1628782424.3772662,163,1.0
1628782441.9431114,164,1.0
1628782459.4013937,165,1.0
1628782494.3975983,167,1.0
1628782529.5890052,169,1.0
1628782564.5306373,171,1.0
1628782582.1583219,172,1.0
1628782599.9674413,173,1.0
1628782635.0073035,175,1.0
1628782652.5641701,176,1.0
1628782670.1902332,177,1.0
1628782687.9787993,178,1.0
1628782705.7385693,179,1.0
1628782738.5477452,181,1.0
1628782756.2418375,182,1.0
1628782773.6395152,183,1.0
1628782791.2741184,184,1.0
1628782808.923908,185,1.0
1628782826.8434455,186,1.0
1628782844.538789,187,1.0
1628782898.230567,190,1.0
1628782916.0108795,191,1.0
1628782933.9603903,192,1.0
1628782950.8023849,193,1.0
1628783004.1151943,196,1.0
1628783057.6873016,199,1.0
1628783075.398414,200,1.0
1628783092.9954238,201,1.0
1628783128.0055797,203,1.0
1628783145.6692502,204,1.0
1628783163.3838737,205,1.0
1628783181.190363,206,1.0
1628783216.2719705,208,1.0
1628783233.9141762,209,1.0
1628783245.8936152,210,1.0
1628783281.43643,212,1.0
1628783316.7893803,214,1.0
1628783352.6285763,216,1.0
1628783370.4941466,217,1.0
1628783404.9326415,219,1.0
1628783422.5873342,220,1.0
1628783440.237139,221,1.0
1628783457.7464807,222,1.0
1628783475.5789688,223,1.0
1628783510.8180876,225,1.0
1628783528.231135,226,1.0
