Wall time,Step,Value
1628835366.5189786,1,3.948488712310791
1628835397.6938381,3,19.635475158691406
1628835413.9338038,4,25.006689071655273
1628835430.1421402,5,27.23396873474121
1628835510.8792899,10,69.52135467529297
1628835527.4446669,11,79.92840576171875
1628835543.397697,12,87.68205261230469
1628835589.9301703,15,104.10151672363281
1628835606.3896668,16,113.77617645263672
1628835622.66811,17,122.00919342041016
1628835655.1597493,19,151.74148559570312
1628835671.4362805,20,172.17916870117188
1628835688.0323656,21,179.97836303710938
1628835720.5273724,23,197.2700958251953
1628835733.4503956,24,206.64523315429688
1628835782.5803168,27,232.6546173095703
1628835798.5496085,28,232.15806579589844
1628835814.8881161,29,249.1692352294922
1628835831.1837165,30,248.7443084716797
1628835847.641909,31,259.3399658203125
1628835894.3447652,34,268.6839904785156
1628835910.8461468,35,277.23980712890625
1628835943.462792,37,289.8299560546875
1628835959.9030912,38,293.70556640625
1628835976.3721406,39,298.48809814453125
1628835992.7333162,40,296.087158203125
1628836009.2600603,41,303.2965087890625
1628836123.864147,48,327.22564697265625
1628836140.330991,49,328.63226318359375
1628836155.2551317,50,324.2093505859375
1628836171.6256366,51,327.3294677734375
1628836188.0250616,52,331.6842041015625
1628836204.455159,53,328.4966125488281
1628836221.056736,54,338.3741455078125
1628836237.2565832,55,346.13427734375
1628836253.7471595,56,342.25
1628836282.1258955,58,343.96112060546875
1628836331.2076638,61,341.3935241699219
1628836347.7717686,62,342.9854431152344
1628836364.1603644,63,352.6183166503906
1628836380.52992,64,342.92730712890625
1628836413.0689821,66,342.6102294921875
1628836429.240335,67,348.74090576171875
1628836445.5512516,68,347.4349365234375
1628836461.9658213,69,348.73126220703125
1628836494.7624924,71,344.6941833496094
1628836511.1850219,72,349.1661071777344
1628836543.7705913,74,343.5482482910156
1628836576.6830482,76,348.1700439453125
1628836607.5108805,78,357.1144714355469
1628836622.4331293,79,356.14404296875
1628836638.5885618,80,345.8080749511719
1628836655.2554398,81,352.5505676269531
1628836688.3447468,83,350.8097839355469
1628836704.9450734,84,358.5565490722656
1628836726.6596532,86,349.05303955078125
1628836743.2388313,87,352.71612548828125
1628836759.7234588,88,348.45794677734375
1628836792.738862,90,359.1930236816406
1628836809.073929,91,353.74041748046875
1628836885.887391,96,342.9283752441406
1628836902.4921296,97,360.09466552734375
1628836951.6815848,100,344.0655212402344
1628836968.288342,101,355.3840637207031
1628837018.070425,104,351.74298095703125
1628837034.5062208,105,349.96258544921875
1628837067.4086814,107,349.0168762207031
1628837083.8694828,108,344.9200744628906
1628837100.4044876,109,349.7890625
1628837116.460651,110,355.32464599609375
1628837131.822445,111,353.00286865234375
1628837148.2513237,112,355.2776184082031
1628837164.7130463,113,347.9906311035156
1628837197.5399106,115,352.8416442871094
1628837214.0304542,116,354.5721130371094
1628837230.5407577,117,359.2073669433594
1628837247.0909822,118,352.1890869140625
1628837296.6247814,121,354.9471130371094
1628837313.0551908,122,350.49371337890625
1628837378.9772522,126,355.8381652832031
1628837395.556146,127,352.9174499511719
1628837428.6632686,129,360.22943115234375
1628837445.06934,130,353.9742431640625
1628837461.4780142,131,343.50274658203125
1628837477.958715,132,351.999267578125
1628837494.5709088,133,353.32342529296875
1628837527.2152581,135,362.40545654296875
1628837560.6514413,137,363.3311462402344
1628837577.1655443,138,355.52008056640625
1628837593.71037,139,355.663330078125
1628837610.5032074,140,355.1808776855469
1628837626.9219332,141,357.60888671875
1628837643.3935966,142,359.66217041015625
1628837672.4122915,144,360.44158935546875
1628837688.8686829,145,353.39068603515625
1628837699.2615354,146,361.4543762207031
1628837715.786574,147,354.61151123046875
1628837732.3654718,148,361.38214111328125
1628837771.1474576,151,353.88873291015625
1628837837.4885192,155,355.032470703125
1628837869.2738426,157,352.51171875
1628837885.705991,158,357.71807861328125
1628837918.7395132,160,361.9409484863281
1628837935.173175,161,354.37969970703125
1628837967.6562717,163,358.95745849609375
1628837984.2294579,164,361.9399108886719
1628837999.8435593,165,348.931640625
1628838033.032209,167,358.3192443847656
1628838066.540952,169,368.1043701171875
1628838093.3601327,171,355.94329833984375
1628838108.8444283,172,352.4255676269531
1628838118.5040827,173,354.5889892578125
1628838151.5021822,175,365.8143615722656
1628838168.0975509,176,357.12847900390625
1628838184.4724994,177,357.129150390625
1628838201.0244465,178,357.4041748046875
1628838217.7712052,179,367.00750732421875
1628838250.6244552,181,358.5538330078125
1628838266.924108,182,359.7437744140625
1628838283.5851183,183,359.8072814941406
1628838300.1305175,184,351.1552429199219
1628838316.6796598,185,361.1162414550781
1628838333.3155212,186,361.714599609375
1628838349.6518018,187,363.8468017578125
1628838399.5075371,190,355.85400390625
1628838414.3963518,191,358.92010498046875
1628838430.8393295,192,355.5973815917969
1628838447.509302,193,362.9052734375
1628838497.297632,196,370.5083312988281
1628838545.356537,199,363.0360107421875
1628838560.732301,200,357.7178039550781
1628838576.064417,201,360.2413635253906
1628838609.0281224,203,358.8031921386719
1628838625.470932,204,356.83062744140625
1628838642.1020913,205,365.47027587890625
1628838658.659386,206,366.2855224609375
1628838691.8429546,208,353.41650390625
1628838708.3971121,209,361.6957702636719
1628838724.9934373,210,363.0341491699219
1628838755.818707,212,361.2830505371094
1628838788.388897,214,355.9416198730469
1628838821.4033728,216,365.91790771484375
1628838837.8746018,217,358.8684997558594
1628838870.8139925,219,360.31060791015625
1628838887.3067856,220,359.3352355957031
1628838903.9615622,221,363.5838317871094
1628838920.3179388,222,361.8702087402344
1628838937.0932765,223,366.3835144042969
1628838970.1261296,225,364.7722473144531
1628838986.4469557,226,368.79388427734375
1628839003.0366986,227,356.13104248046875
1628839049.3757212,230,366.8726501464844
1628839077.496601,232,365.30010986328125
1628839093.9135673,233,356.9505615234375
1628839127.238314,235,368.72418212890625
1628839143.9555001,236,363.8158264160156
1628839160.0521965,237,363.53594970703125
1628839175.2246132,238,365.2271728515625
1628839191.8637533,239,361.0707702636719
1628839208.5120676,240,369.1646728515625
1628839241.8109524,242,367.5672607421875
1628839250.4417825,243,358.1733093261719
1628839283.817196,245,358.6705627441406
1628839300.0998263,246,363.2107238769531
1628839316.8148532,247,361.238037109375
1628839333.4189844,248,366.7916259765625
1628839350.042443,249,365.632568359375
1628839366.7662024,250,365.7962951660156
1628839415.9656785,253,361.5697021484375
1628839432.4952216,254,359.7051086425781
1628839449.0305452,255,358.3631286621094
1628839465.5145645,256,366.34613037109375
1628839495.9387665,258,372.3775634765625
1628839512.6520667,259,369.1979675292969
1628839529.2721725,260,359.18804931640625
1628839543.7511146,261,361.8371887207031
1628839570.514294,263,361.79644775390625
