Wall time,Step,Value
1628835366.5189786,1,1.0
1628835397.6938381,3,1.0
1628835413.9338038,4,1.0
1628835430.1421402,5,1.0
1628835510.8792899,10,1.0
1628835527.4446669,11,1.0
1628835543.397697,12,1.0
1628835589.9301703,15,1.0
1628835606.3896668,16,1.0
1628835622.66811,17,1.0
1628835655.1597493,19,1.0
1628835671.4362805,20,1.0
1628835688.0323656,21,1.0
1628835720.5273724,23,1.0
1628835733.4503956,24,1.0
1628835782.5803168,27,1.0
1628835798.5496085,28,1.0
1628835814.8881161,29,1.0
1628835831.1837165,30,1.0
1628835847.641909,31,1.0
1628835894.3447652,34,1.0
1628835910.8461468,35,1.0
1628835943.462792,37,1.0
1628835959.9030912,38,1.0
1628835976.3721406,39,1.0
1628835992.7333162,40,1.0
1628836009.2600603,41,1.0
1628836123.864147,48,1.0
1628836140.330991,49,1.0
1628836155.2551317,50,1.0
1628836171.6256366,51,1.0
1628836188.0250616,52,1.0
1628836204.455159,53,1.0
1628836221.056736,54,1.0
1628836237.2565832,55,1.0
1628836253.7471595,56,1.0
1628836282.1258955,58,1.0
1628836331.2076638,61,1.0
1628836347.7717686,62,1.0
1628836364.1603644,63,1.0
1628836380.52992,64,1.0
1628836413.0689821,66,1.0
1628836429.240335,67,1.0
1628836445.5512516,68,1.0
1628836461.9658213,69,1.0
1628836494.7624924,71,1.0
1628836511.1850219,72,1.0
1628836543.7705913,74,1.0
1628836576.6830482,76,1.0
1628836607.5108805,78,1.0
1628836622.4331293,79,1.0
1628836638.5885618,80,1.0
1628836655.2554398,81,1.0
1628836688.3447468,83,1.0
1628836704.9450734,84,1.0
1628836726.6596532,86,1.0
1628836743.2388313,87,1.0
1628836759.7234588,88,1.0
1628836792.738862,90,1.0
1628836809.073929,91,1.0
1628836885.887391,96,1.0
1628836902.4921296,97,1.0
1628836951.6815848,100,1.0
1628836968.288342,101,1.0
1628837018.070425,104,1.0
1628837034.5062208,105,1.0
1628837067.4086814,107,1.0
1628837083.8694828,108,1.0
1628837100.4044876,109,1.0
1628837116.460651,110,1.0
1628837131.822445,111,1.0
1628837148.2513237,112,1.0
1628837164.7130463,113,1.0
1628837197.5399106,115,1.0
1628837214.0304542,116,1.0
1628837230.5407577,117,1.0
1628837247.0909822,118,1.0
1628837296.6247814,121,1.0
1628837313.0551908,122,1.0
1628837378.9772522,126,1.0
1628837395.556146,127,1.0
1628837428.6632686,129,1.0
1628837445.06934,130,1.0
1628837461.4780142,131,1.0
1628837477.958715,132,1.0
1628837494.5709088,133,1.0
1628837527.2152581,135,1.0
1628837560.6514413,137,1.0
1628837577.1655443,138,1.0
1628837593.71037,139,1.0
1628837610.5032074,140,1.0
1628837626.9219332,141,1.0
1628837643.3935966,142,1.0
1628837672.4122915,144,1.0
1628837688.8686829,145,1.0
1628837699.2615354,146,1.0
1628837715.786574,147,1.0
1628837732.3654718,148,1.0
1628837771.1474576,151,1.0
1628837837.4885192,155,1.0
1628837869.2738426,157,1.0
1628837885.705991,158,1.0
1628837918.7395132,160,1.0
1628837935.173175,161,1.0
1628837967.6562717,163,1.0
1628837984.2294579,164,1.0
1628837999.8435593,165,1.0
1628838033.032209,167,1.0
1628838066.540952,169,1.0
1628838093.3601327,171,1.0
1628838108.8444283,172,1.0
1628838118.5040827,173,1.0
1628838151.5021822,175,1.0
1628838168.0975509,176,1.0
1628838184.4724994,177,1.0
1628838201.0244465,178,1.0
1628838217.7712052,179,1.0
1628838250.6244552,181,1.0
1628838266.924108,182,1.0
1628838283.5851183,183,1.0
1628838300.1305175,184,1.0
1628838316.6796598,185,1.0
1628838333.3155212,186,1.0
1628838349.6518018,187,1.0
1628838399.5075371,190,1.0
1628838414.3963518,191,1.0
1628838430.8393295,192,1.0
1628838447.509302,193,1.0
1628838497.297632,196,1.0
1628838545.356537,199,1.0
1628838560.732301,200,1.0
1628838576.064417,201,1.0
1628838609.0281224,203,1.0
1628838625.470932,204,1.0
1628838642.1020913,205,1.0
1628838658.659386,206,1.0
1628838691.8429546,208,1.0
1628838708.3971121,209,1.0
1628838724.9934373,210,1.0
1628838755.818707,212,1.0
1628838788.388897,214,1.0
1628838821.4033728,216,1.0
1628838837.8746018,217,1.0
1628838870.8139925,219,1.0
1628838887.3067856,220,1.0
1628838903.9615622,221,1.0
1628838920.3179388,222,1.0
1628838937.0932765,223,1.0
1628838970.1261296,225,1.0
1628838986.4469557,226,1.0
1628839003.0366986,227,1.0
1628839049.3757212,230,1.0
1628839077.496601,232,1.0
1628839093.9135673,233,1.0
1628839127.238314,235,1.0
1628839143.9555001,236,1.0
1628839160.0521965,237,1.0
1628839175.2246132,238,1.0
1628839191.8637533,239,1.0
1628839208.5120676,240,1.0
1628839241.8109524,242,1.0
1628839250.4417825,243,1.0
1628839283.817196,245,1.0
1628839300.0998263,246,1.0
1628839316.8148532,247,1.0
1628839333.4189844,248,1.0
1628839350.042443,249,1.0
1628839366.7662024,250,1.0
1628839415.9656785,253,1.0
1628839432.4952216,254,1.0
1628839449.0305452,255,1.0
1628839465.5145645,256,1.0
1628839495.9387665,258,1.0
1628839512.6520667,259,1.0
1628839529.2721725,260,1.0
1628839543.7511146,261,1.0
1628839570.514294,263,1.0
1628839585.9755766,264,1.0
1628839668.7947373,269,1.0
1628839702.2175186,271,1.0
1628839719.0088947,272,1.0
1628839768.7918205,275,1.0
1628839785.5529287,276,1.0
1628839801.6610873,277,1.0
1628839834.9560964,279,1.0
1628839851.4842727,280,1.0
1628839868.2823727,281,1.0
1628839884.979098,282,1.0
1628839901.390724,283,1.0
1628839909.8366604,284,1.0
1628839918.254721,285,1.0
1628839926.7220664,286,1.0
1628839951.852874,288,1.0
1628839968.4371722,289,1.0
1628840000.8524358,291,1.0
1628840017.5168839,292,1.0
1628840083.993245,296,1.0
1628840100.5995812,297,1.0
1628840117.177673,298,1.0
1628840133.6731005,299,1.0
1628840150.3379562,300,1.0
1628840167.0592299,301,1.0
1628840225.0769305,305,0.9983333349227905
1628840241.7088244,306,0.9983333349227905
1628840258.4978569,307,0.9983333349227905
1628840275.3021662,308,0.9983333349227905
1628840291.1573875,309,0.9983333349227905
1628840308.090175,310,0.9983333349227905
1628840341.9429924,312,0.9983333349227905
1628840358.8921547,313,0.9983333349227905
1628840375.8971882,314,0.9983333349227905
1628840393.0016696,315,0.996666669845581
1628840409.823399,316,0.996666669845581
1628840426.8466656,317,0.996666669845581
1628840461.0934632,319,0.996666669845581
1628840478.310646,320,0.996666669845581
1628840495.3609798,321,0.996666669845581
1628840512.6505387,322,0.996666669845581
1628840529.9189599,323,0.996666669845581
1628840562.1352108,325,0.9950000047683716
1628840613.8671122,328,0.9950000047683716
1628840648.451611,330,0.9950000047683716
1628840665.975872,331,0.9950000047683716
1628840683.6041052,332,0.9950000047683716
